station,start_time,end_time,zr_hours,label,duration
CXY,1981-12-22 11:00,1981-12-22 12:00,1.0,0,1.0
BGM,1981-12-22 11:00,1981-12-22 11:00,0.0,0,0.0
AOO,1981-12-22 11:15,1981-12-22 14:00,2.75,0,2.75
LYH,1981-12-22 12:00,1981-12-22 12:00,0.0,0,0.0
ABE,1981-12-22 13:15,1981-12-22 14:00,0.75,0,0.75
MUI,1981-12-22 14:00,1981-12-22 14:00,0.0,0,0.0
VIH,1981-12-22 20:00,1981-12-22 20:00,0.0,0,0.0
ALB,1981-12-23 06:00,1981-12-23 09:00,3.0,0,3.0
RME,1981-12-23 06:00,1981-12-23 07:00,1.0,0,1.0
UCA,1981-12-23 06:00,1981-12-23 07:00,1.0,0,1.0
SYR,1981-12-23 06:00,1981-12-23 08:00,2.0,0,2.0
BDL,1981-12-23 09:00,1981-12-23 10:00,1.0,0,1.0
ORH,1981-12-23 11:00,1981-12-23 18:00,3.17,0,7.0
EEN,1981-12-23 11:20,1981-12-23 13:50,2.5,0,2.5
PSM,1981-12-23 12:00,1981-12-23 14:00,2.0,0,2.0
LEB,1981-12-23 12:00,1981-12-23 12:00,0.0,0,0.0
LCI,1981-12-23 15:45,1981-12-23 18:50,1.08,0,3.08
PWM,1981-12-23 16:00,1981-12-23 16:16,0.27,0,0.27
MPV,1981-12-23 18:00,1981-12-23 18:00,0.0,0,0.0
AUG,1981-12-23 18:00,1981-12-23 20:00,1.73,0,2.0
NHZ,1981-12-23 19:00,1981-12-23 19:00,0.0,0,0.0
JST,1981-12-24 02:00,1981-12-24 02:00,0.0,0,0.0
BKW,1981-12-27 11:00,1981-12-27 12:00,1.0,0,1.0
CXY,1981-12-27 11:00,1981-12-27 12:00,1.0,0,1.0
BOS,1981-12-28 05:00,1981-12-28 07:00,1.58,0,2.0
BFD,1981-12-29 01:28,1981-12-29 01:28,0.0,0,0.0
SWF,1981-12-29 02:00,1981-12-29 02:00,0.0,0,0.0
AHN,1981-12-31 08:00,1981-12-31 14:00,6.0,1,6.0
ATL,1981-12-31 08:00,1981-12-31 13:00,5.0,0,5.0
GSP,1981-12-31 09:29,1981-12-31 18:00,8.52,1,8.52
PIA,1981-12-31 10:00,1981-12-31 10:00,0.0,0,0.0
AVL,1981-12-31 10:00,1981-12-31 17:00,3.4,0,7.0
HKY,1981-12-31 11:00,1981-12-31 16:00,4.0,0,5.0
CSV,1981-12-31 11:00,1981-12-31 11:00,0.0,0,0.0
CLT,1981-12-31 12:00,1981-12-31 16:00,1.8,0,4.0
INT,1981-12-31 13:00,1981-12-31 16:00,2.0,0,3.0
AND,1981-12-31 13:00,1981-12-31 13:00,0.0,0,0.0
BLF,1981-12-31 14:00,1981-12-31 20:00,2.0,0,6.0
GSO,1981-12-31 14:00,1981-12-31 21:00,3.97,0,7.0
TRI,1981-12-31 14:03,1981-12-31 14:03,0.0,0,0.0
DAN,1981-12-31 16:00,1981-12-31 20:00,4.0,0,4.0
BKW,1981-12-31 16:00,1981-12-31 20:00,4.0,0,4.0
LYH,1981-12-31 16:00,1981-12-31 21:00,4.0,0,5.0
ROA,1981-12-31 18:29,1981-12-31 23:00,4.52,0,4.52
DUJ,1982-01-01 05:00,1982-01-01 06:00,1.0,0,1.0
MKC,1982-01-02 11:00,1982-01-02 13:00,2.0,0,2.0
IRK,1982-01-02 12:00,1982-01-02 16:00,2.0,0,4.0
CNK,1982-01-02 12:00,1982-01-02 12:00,0.0,0,0.0
FLV,1982-01-02 12:00,1982-01-02 13:00,1.0,0,1.0
LWD,1982-01-02 12:00,1982-01-02 20:00,8.0,1,8.0
MCI,1982-01-02 12:00,1982-01-02 13:00,1.0,0,1.0
FNB,1982-01-02 13:00,1982-01-02 14:00,1.0,0,1.0
TOP,1982-01-02 13:00,1982-01-02 14:00,0.38,0,1.0
OTM,1982-01-02 14:00,1982-01-02 17:00,3.0,0,3.0
UIN,1982-01-02 15:00,1982-01-02 16:00,1.0,0,1.0
DSM,1982-01-02 15:00,1982-01-02 18:00,1.42,0,3.0
BRL,1982-01-02 15:01,1982-01-02 17:00,1.98,0,1.98
SPI,1982-01-02 17:00,1982-01-02 17:00,0.0,0,0.0
MLI,1982-01-02 17:00,1982-01-02 23:00,2.47,0,6.0
PIA,1982-01-02 18:00,1982-01-02 20:00,2.0,0,2.0
STL,1982-01-02 19:00,1982-01-02 19:20,0.33,0,0.33
CID,1982-01-02 19:00,1982-01-02 19:00,0.0,0,0.0
DBQ,1982-01-02 20:00,1982-01-02 20:00,0.0,0,0.0
RFD,1982-01-02 20:00,1982-01-02 21:00,1.0,0,1.0
ORD,1982-01-02 22:00,1982-01-03 00:00,2.0,0,2.0
SBN,1982-01-02 22:00,1982-01-03 00:00,0.3,0,2.0
JXN,1982-01-02 23:00,1982-01-03 03:00,1.0,0,4.0
FWA,1982-01-03 00:00,1982-01-03 02:00,1.0,0,2.0
BEH,1982-01-03 00:00,1982-01-03 00:00,0.0,0,0.0
LAN,1982-01-03 02:00,1982-01-03 05:00,2.1,0,3.0
MKG,1982-01-03 02:00,1982-01-03 02:00,0.0,0,0.0
GRR,1982-01-03 03:00,1982-01-03 03:00,0.0,0,0.0
MKE,1982-01-03 03:00,1982-01-03 03:00,0.0,0,0.0
TOL,1982-01-03 03:00,1982-01-03 03:00,0.0,0,0.0
FNT,1982-01-03 04:00,1982-01-03 09:00,4.33,0,5.0
BKW,1982-01-03 05:02,1982-01-03 10:00,4.97,0,4.97
ROA,1982-01-03 05:32,1982-01-03 13:00,7.47,1,7.47
BLF,1982-01-03 06:00,1982-01-03 09:00,2.0,0,3.0
OKC,1982-01-03 06:37,1982-01-03 14:09,2.75,0,7.53
IAD,1982-01-03 09:28,1982-01-03 12:00,2.53,0,2.53
BFD,1982-01-03 10:00,1982-01-04 06:00,3.0,0,20.0
INT,1982-01-03 10:00,1982-01-03 11:00,1.0,0,1.0
MRB,1982-01-03 10:00,1982-01-03 10:00,0.0,0,0.0
DUJ,1982-01-03 10:00,1982-01-04 06:00,4.0,0,20.0
FCI,1982-01-03 10:15,1982-01-03 11:00,0.75,0,0.75
RIC,1982-01-03 10:15,1982-01-03 11:00,0.75,0,0.75
ADW,1982-01-03 11:00,1982-01-03 13:00,2.0,0,2.0
AOO,1982-01-03 11:00,1982-01-04 04:00,4.0,0,17.0
BWI,1982-01-03 11:00,1982-01-03 13:00,2.0,0,2.0
PNC,1982-01-03 11:16,1982-01-03 15:00,3.73,0,3.73
DCA,1982-01-03 11:23,1982-01-03 12:00,0.62,0,0.62
BVO,1982-01-03 12:00,1982-01-03 12:00,0.0,0,0.0
TIK,1982-01-03 12:00,1982-01-03 12:00,0.0,0,0.0
JST,1982-01-03 12:00,1982-01-03 14:00,2.0,0,2.0
LYH,1982-01-03 12:00,1982-01-03 14:00,2.0,0,2.0
GSO,1982-01-03 12:00,1982-01-03 13:00,1.0,0,1.0
ROC,1982-01-03 13:00,1982-01-03 13:00,0.0,0,0.0
DOV,1982-01-03 13:00,1982-01-03 13:00,0.0,0,0.0
IPT,1982-01-03 13:00,1982-01-04 03:00,4.3,0,14.0
CNU,1982-01-03 13:00,1982-01-03 23:00,2.0,0,10.0
END,1982-01-03 14:00,1982-01-03 14:00,0.0,0,0.0
SYR,1982-01-03 14:00,1982-01-04 09:00,8.0,1,19.0
BGM,1982-01-03 14:00,1982-01-04 07:00,3.1,0,17.0
AVP,1982-01-03 14:30,1982-01-03 20:00,2.07,0,5.5
SZL,1982-01-03 15:00,1982-01-04 01:00,8.0,1,10.0
ELM,1982-01-03 15:00,1982-01-03 15:00,0.0,0,0.0
ITH,1982-01-03 15:00,1982-01-04 03:00,1.0,0,12.0
LNS,1982-01-03 15:28,1982-01-03 18:00,2.53,0,2.53
RME,1982-01-03 16:00,1982-01-04 09:00,5.0,0,17.0
SWF,1982-01-03 16:00,1982-01-04 05:00,3.0,0,13.0
UCA,1982-01-03 16:00,1982-01-04 09:00,5.0,0,17.0
MSV,1982-01-03 16:00,1982-01-03 17:00,1.0,0,1.0
MDT,1982-01-03 17:00,1982-01-03 17:00,0.0,0,0.0
CXY,1982-01-03 18:17,1982-01-03 18:17,0.0,0,0.0
RDG,1982-01-03 19:00,1982-01-03 21:00,2.0,0,2.0
ART,1982-01-03 19:00,1982-01-03 19:00,0.0,0,0.0
JEF,1982-01-03 19:00,1982-01-04 01:00,5.0,0,6.0
EMP,1982-01-03 20:00,1982-01-03 21:00,1.0,0,1.0
MHK,1982-01-03 21:00,1982-01-03 21:00,0.0,0,0.0
ABE,1982-01-03 23:00,1982-01-04 07:16,7.27,1,8.27
VIH,1982-01-03 23:00,1982-01-04 00:00,1.0,0,1.0
BRL,1982-01-04 00:35,1982-01-04 02:00,1.42,0,1.42
MLI,1982-01-04 02:25,1982-01-04 05:20,2.92,0,2.92
TEB,1982-01-04 03:00,1982-01-04 03:00,0.0,0,0.0
BDL,1982-01-04 03:37,1982-01-04 12:00,5.38,0,8.38
ALB,1982-01-04 04:00,1982-01-04 09:50,4.55,0,5.83
RFD,1982-01-04 05:00,1982-01-04 05:00,0.0,0,0.0
GFL,1982-01-04 06:00,1982-01-04 13:00,7.0,1,7.0
BOS,1982-01-04 08:00,1982-01-04 11:00,3.0,0,3.0
